Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
1-Aug-15,19:20,Gold Coast,West Coast,Metricon Stadium,83,83,,12,11,11,17,8.22,1.08
1-Aug-15,16:35,Sydney,Adelaide,SCG,117,65,,17,15,9,11,1.4,2.96
1-Aug-15,14:10,Collingwood,Melbourne,MCG,54,91,,7,12,13,13,1.32,3.36
1-Aug-15,13:45,Geelong,Brisbane,Simonds Stadium,113,57,,17,11,8,9,1.11,6.73
31-Jul-15,19:50,Hawthorn,Richmond,MCG,53,71,,7,11,10,11,1.17,5.03
26-Jul-15,14:40,West Coast,Sydney,Domain Stadium,103,51,,15,13,7,9,1.29,3.61
26-Jul-15,15:20,Melbourne,St Kilda,MCG,46,83,,6,10,12,11,2.04,1.79
26-Jul-15,13:10,Western Bulldogs,Collingwood,Etihad Stadium,104,86,,15,14,13,8,2.21,1.67
25-Jul-15,19:20,Brisbane,North Melbourne,Gabba,38,110,,5,8,16,14,4.42,1.21
25-Jul-15,19:20,Essendon,Port Adelaide,Etihad Stadium,116,129,,17,14,20,9,3.37,1.32
25-Jul-15,16:35,Richmond,Fremantle,MCG,78,82,,10,18,12,10,1.77,2.04
25-Jul-15,13:40,Adelaide,Gold Coast,Adelaide Oval,125,80,,19,11,12,8,1.21,4.39
25-Jul-15,13:45,GWS Giants,Geelong,StarTrack Oval Canberra,42,69,,6,6,9,15,1.78,2.03
24-Jul-15,19:50,Carlton,Hawthorn,Etihad Stadium,35,173,,4,11,27,11,14.09,1.02
19-Jul-15,16:40,St Kilda,Richmond,Etihad Stadium,73,89,,10,13,13,11,2.85,1.42
19-Jul-15,14:50,Port Adelaide,Adelaide,Adelaide Oval,113,116,,17,11,18,8,1.57,2.41
19-Jul-15,13:10,Melbourne,Brisbane,MCG,60,36,,8,12,4,12,1.61,2.32
18-Jul-15,17:40,Fremantle,Carlton,Domain Stadium,95,53,,13,17,8,5,1.12,6.36
18-Jul-15,19:20,Sydney,Hawthorn,ANZ Stadium,57,146,,7,15,23,8,2.43,1.56
18-Jul-15,16:35,Collingwood,West Coast,Etihad Stadium,56,87,,7,14,11,21,2.45,1.55
18-Jul-15,14:10,Gold Coast,GWS Giants,Metricon Stadium,79,94,,12,7,13,16,2.23,1.66
18-Jul-15,13:45,Geelong,Western Bulldogs,Simonds Stadium,72,64,,10,12,9,10,1.57,2.4
17-Jul-15,19:50,North Melbourne,Essendon,Etihad Stadium,93,68,,14,9,9,14,1.2,4.52
