I1,-4.90484693972644
I2,-3.6665142337472
I3,-8.93577104265736
I4,-5.08819013058077
I5,-5.1326972820737
I6,-2.30434066985944
I7,-4.59263537319075
I8,-5.46849252928838
I9,-3.05394372399521
I10,-4.51554243156199
I11,-6.51013131040801
I12,-1.86234523528555
I13,-5.09958050019587
I14,-2.62481140519473
I15,-3.56311044650851
I16,-4.11294997853348
I17,-2.68229457938523
I18,-2.88484744268762
I19,-3.20762109214848
I20,-3.6502165615122
I21,-3.09544733517904
I22,-2.46074163713706
I23,-1.42566426554626
I24,-2.64476110614461
I25,-2.65423110942044
I26,-0.669892161641911
I27,-0.59727447206367
I28,-3.30134596297533
I29,-0.847940186635854
I30,-0.556999211286251
I31,-1.96957436988491
I32,-0.58957809978466
I33,-0.929629317409012
I34,-0.914792910429754
